id,question,answer
1,"If a train travels 60 km per hour, how far will it travel in 5 hours?",300
2,What is 30% of 250?,75
3,"If 5 workers complete a job in 10 days, how many days will 10 workers take?",5
4,A shop gives 20% discount on ₹500. What is final price?,400
5,"If 12 pencils cost ₹60, what is cost of 1 pencil?",5
6,"What is average of 10, 20, 30, 40?",25
7,"If a rectangle length is 10 and width is 5, find area.",50
8,What is 15% of 200?,30
9,"If 3 machines produce 300 items in 1 hour, how many items will 6 machines produce?",600
10,"If sum of two numbers is 20 and one number is 8, find other.",12
11,What is 25% of 400?,100
12,"If 8 workers complete work in 6 days, how many days for 4 workers?",12
13,Find simple interest on ₹1000 at 10% for 1 year.,100
14,"If cost price is ₹200 and selling price is ₹240, find profit.",40
15,What is square of 12?,144
16,"If car speed is 50 km/h, distance in 4 hours?",200
17,What is 10% of 1500?,150
18,"If 7 pens cost ₹70, cost of 3 pens?",30
19,Find perimeter of square with side 6.,24
20,"If 2 numbers multiply to 36 and one is 6, find other.",6
21,What is cube of 3?,27
22,"If 4 books cost ₹200, cost of 1 book?",50
23,"If total marks 500 and student got 400, percentage?",80
24,What is 5% of 600?,30
25,"If 9 workers take 3 days, how many days for 3 workers?",9
26,"If 100 items cost ₹1000, cost of 1 item?",10
27,Find area of square side 8.,64
28,What is 50% of 90?,45
29,"If 6 apples cost ₹60, cost of 10 apples?",100
30,"If speed 80 km/h, distance in 2 hours?",160
